
------COMPUTATION DONE------
-1.91872 5.48281
-9.98724 5.48666
-19.0746 2.02639
-9.98724 2.09923
-0.815159 3.58966
-9.98724 2.80439
0.162229 3.97352
-0.815159 3.58966
0.162229 3.97352
0.253168 4.00924
0.000426012 4.48277
-0.319873 4.93279
0.000426012 4.48277
0.191006 4.21501
0.191006 4.21501
0.253168 4.00924
-1.21042 5.2683
-1.91872 5.48281
-0.319873 4.93279
-1.21042 5.2683
-2.81747 7.52314
-9.98724 7.68381
0.0016984 6.88482
-0.119071 7.09859
0.0016984 6.88482
0.0447104 6.80868
-0.119071 7.09859
-2.81747 7.52314
0.0447104 6.80868
0.101141 6.46298
0.101141 6.46298
-1.06557 5.75916
-1.06557 5.75916
-1.91872 5.48281
0.0826187 7.71862
-2.81747 7.52314
0.0826187 7.71862
0.0935177 7.71936
-0.127411 8.4347
-9.98724 9.87785
-12.3027 10.2168
-9.98724 9.95763
0.0193393 8.3673
-0.127411 8.4347
0.0305376 8.35581
0.0193393 8.3673
0.0305376 8.35581
0.281009 8.09872
0.260588 7.84285
0.0935177 7.71936
0.281009 8.09872
0.260588 7.84285
-15.0621 1.95681
-9.98724 1.86882
-0.0789656 0.490641
-9.98724 1.46021
0.0319741 0.415867
-0.0789656 0.490641
0.0319741 0.415867
0.19058 0.308966
0.19058 0.308966
0.24965 0.00549909
0.24965 0.00549909
-0.985233 -9.97784
-0.0434448 7.09513
-0.119071 7.09859
0.0831619 6.85199
0.0447104 6.80868
0.0831619 6.85199
0.23833 7.02674
0.0606377 7.06987
-0.0434448 7.09513
0.0606377 7.06987
0.23833 7.02674
0.161725 7.34666
-0.0434448 7.09513
0.161725 7.34666
0.206036 7.40098
0.220432 7.50816
0.206036 7.40098
0.0935177 7.71936
0.220432 7.50816
0.23833 7.02674
0.297679 7.01606
0.297679 7.01606
0.321337 7.00484
0.165296 6.49241
0.101141 6.46298
0.292956 6.61022
0.165296 6.49241
0.384121 6.73639
0.292956 6.61022
0.321337 7.00484
0.376093 6.92486
0.376093 6.92486
0.384121 6.73639
-5.29657 1.95942
-9.98724 1.95817
0.148868 3.01589
-5.29657 1.95942
0.148868 3.01589
0.379577 3.06065
0.0834095 3.46257
-0.815159 3.58966
0.0834095 3.46257
0.220348 3.4432
0.220348 3.4432
0.379577 3.06065
-4.25529 1.92724
-5.29657 1.95942
0.0507243 1.09877
-4.25529 1.92724
0.115645 0.597601
-0.0789656 0.490641
0.260899 0.827536
0.115645 0.597601
0.260899 0.827536
0.261173 0.827969
0.0840597 1.07886
0.0507243 1.09877
0.0840597 1.07886
0.184431 1.01891
0.184431 1.01891
0.261173 0.827969
-0.565057 9.19219
-9.98724 10.0146
0.226862 8.65202
-0.127411 8.4347
0.226862 8.65202
0.3076 8.70154
0.0594735 9.04155
-0.565057 9.19219
0.11887 8.96016
0.0594735 9.04155
0.11887 8.96016
0.3076 8.70154
0.0183792 2.12119
-4.25529 1.92724
0.379577 3.06065
0.48687 2.98618
0.135494 2.20349
0.0183792 2.12119
0.448014 2.53134
0.135494 2.20349
0.48687 2.98618
0.576936 2.81552
0.576936 2.81552
0.448014 2.53134
0.206036 7.40098
0.297679 7.01606
0.253168 4.00924
0.414446 3.9407
0.483873 3.67959
0.220348 3.4432
0.414446 3.9407
0.483873 3.67959
0.204982 9.72252
0.19453 9.42163
0.19453 9.42163
-0.565057 9.19219
0.192581 9.72755
-9.98724 13.8627
0.192581 9.72755
0.204982 9.72252
0.264844 9.4391
0.19453 9.42163
0.264844 9.4391
0.382278 9.46829
0.205493 9.72233
0.204982 9.72252
0.205493 9.72233
0.306142 9.6858
0.306142 9.6858
0.382278 9.46829
0.379327 1.40422
0.0507243 1.09877
0.379327 1.40422
0.402201 1.42548
0.213498 1.83234
0.123458 2.02647
0.213498 1.83234
0.402201 1.42548
0.123458 2.02647
0.0183792 2.12119
0.221807 0.567726
0.115645 0.597601
0.221807 0.567726
0.460604 0.500525
0.374336 0.439325
0.19058 0.308966
0.374336 0.439325
0.460604 0.500525
0.282933 8.44871
0.0193393 8.3673
0.282933 8.44871
0.409292 8.48774
0.3076 8.70154
0.35611 8.68319
0.35611 8.68319
0.409292 8.48774
0.460604 0.500525
0.519082 0.519268
0.261173 0.827969
0.548394 0.620051
0.548394 0.620051
0.519082 0.519268
0.107375 9.05217
0.0594735 9.04155
0.336289 9.17026
0.107375 9.05217
0.382278 9.46829
0.386753 9.46553
0.386753 9.46553
0.358433 9.22397
0.358433 9.22397
0.336289 9.17026
0.405296 8.20579
0.281009 8.09872
0.409292 8.48774
0.450894 8.4471
0.450894 8.4471
0.408858 8.21082
0.408858 8.21082
0.405296 8.20579
0.37636 7.42225
0.34989 7.06004
0.306463 7.46076
0.220432 7.50816
0.306463 7.46076
0.37636 7.42225
0.34989 7.06004
0.321337 7.00484
0.40999 9.76162
0.306142 9.6858
0.534428 9.96171
0.40999 9.76162
0.534428 9.96171
0.596191 10.061
0.765993 10.844
0.596191 10.061
0.765993 10.844
0.828743 11.1334
0.315258 23.2586
-3.35291 109.877
0.315258 23.2586
0.828743 11.1334
-46.0565 1118.27
-2.33224 109.877
0.386918 4.34143
0.191006 4.21501
0.386918 4.34143
0.429647 4.369
0.250141 4.85878
-0.319873 4.93279
0.429573 4.48472
0.429647 4.369
0.316906 4.7196
0.250141 4.85878
0.316906 4.7196
0.429573 4.48472
0.360003 8.96505
0.107375 9.05217
0.360003 8.96505
0.503196 8.91566
0.503196 8.91566
0.582763 8.85104
0.544725 8.81441
0.35611 8.68319
0.544725 8.81441
0.564626 8.82825
0.582763 8.85104
0.564626 8.82825
0.366973 6.27085
0.321877 6.37708
0.366973 6.27085
0.428246 6.12652
-0.437992 5.80667
-1.06557 5.75916
0.432798 6.09957
-0.437992 5.80667
0.428246 6.12652
0.432798 6.09957
0.321877 6.37708
0.165296 6.49241
0.510844 0.288759
0.24965 0.00549909
0.510844 0.288759
0.57949 0.363204
0.576409 0.396758
0.57949 0.363204
0.519082 0.519268
0.576409 0.396758
0.44751 1.07041
0.184431 1.01891
0.44751 1.07041
0.750835 1.12979
0.402201 1.42548
0.631519 1.31866
0.631519 1.31866
0.751878 1.13323
0.751878 1.13323
0.750835 1.12979
0.429647 4.369
0.605452 4.11742
0.605452 4.11742
0.414446 3.9407
0.43991 6.31299
0.428246 6.12652
0.410506 6.32895
0.321877 6.37708
0.410506 6.32895
0.43991 6.31299
0.410596 9.14049
0.336289 9.17026
0.410596 9.14049
0.428073 9.13349
0.428073 9.13349
0.503196 8.91566
0.438682 5.42098
-1.21042 5.2683
0.438682 5.42098
0.539356 5.4303
0.418555 5.75108
-0.437992 5.80667
0.418555 5.75108
0.456685 5.7486
0.456685 5.7486
0.542241 5.43555
0.542241 5.43555
0.539356 5.4303
0.427795 7.41938
0.37636 7.42225
0.427795 7.41938
0.65936 7.40646
0.57112 7.30768
0.34989 7.06004
0.57112 7.30768
0.65936 7.40646
0.535 4.9111
0.250141 4.85878
0.539356 5.4303
0.639005 5.07572
0.639005 5.07572
0.628697 5.02821
0.628697 5.02821
0.535 4.9111
0.341213 7.82928
0.260588 7.84285
0.65936 7.40646
0.668508 7.40954
0.44202 7.72779
0.341213 7.82928
0.44202 7.72779
0.69794 7.47015
0.69794 7.47015
0.668508 7.40954
0.447282 6.09892
0.432798 6.09957
0.447282 6.09892
0.462737 6.09823
0.462737 6.09823
0.565875 5.79144
0.565875 5.79144
0.456685 5.7486
0.690669 0.740313
0.548394 0.620051
0.781632 0.962702
0.690669 0.740313
0.750835 1.12979
0.781632 0.962702
0.458596 6.30874
0.43991 6.31299
0.458596 6.30874
0.693934 6.25518
0.551594 6.13594
0.462737 6.09823
0.551594 6.13594
0.656508 6.18046
0.693934 6.25518
0.656508 6.18046
0.469914 9.4658
0.386753 9.46553
0.469914 9.4658
0.60032 9.46621
0.468789 9.70945
0.40999 9.76162
0.468789 9.70945
0.633019 9.56374
0.633019 9.56374
0.60032 9.46621
0.487076 9.25664
0.358433 9.22397
0.487076 9.25664
0.683138 9.30643
0.698521 9.32618
0.683138 9.30643
0.60032 9.46621
0.698521 9.32618
0.505819 9.14271
0.428073 9.13349
0.505819 9.14271
0.600192 9.1539
0.683138 9.30643
0.600192 9.1539
0.494471 6.4588
0.292956 6.61022
0.494471 6.4588
0.72557 6.28516
0.72557 6.28516
0.693934 6.25518
0.487892 3.67786
0.483873 3.67959
0.5048 3.66815
0.487892 3.67786
0.5048 3.66815
0.646318 3.58695
0.698283 3.34937
0.48687 2.98618
0.646318 3.58695
0.697396 3.35365
0.697396 3.35365
0.698283 3.34937
0.64339 8.87377
0.582763 8.85104
0.600192 9.1539
0.64339 8.87377
0.57949 0.363204
0.939421 -0.261821
0.939421 -0.261821
1.43477 -3.44767
1.43477 -3.44767
1.03232 -9.97784
0.529034 8.11918
0.405296 8.20579
0.529034 8.11918
0.663834 8.02482
0.623319 7.90825
0.341213 7.82928
0.623319 7.90825
0.669189 7.92109
0.663834 8.02482
0.669189 7.92109
0.531034 1.83169
0.123458 2.02647
0.531034 1.83169
0.650611 1.77454
0.650611 1.77454
0.668458 1.53403
0.668458 1.53403
0.631519 1.31866
0.596191 10.061
0.669965 9.61799
0.669965 9.61799
0.633019 9.56374
0.542383 4.44573
0.429573 4.48472
0.542383 4.44573
0.671837 4.40099
0.647068 4.13396
0.605452 4.11742
0.671837 4.40099
0.720569 4.2974
0.720569 4.2974
0.647068 4.13396
0.5748 8.45875
0.450894 8.4471
0.5748 8.45875
0.637037 8.4646
0.564626 8.82825
0.637037 8.4646
0.60132 5.79556
0.565875 5.79144
0.60132 5.79556
0.653912 5.80167
0.656508 6.18046
0.704377 5.88777
0.704377 5.88777
0.653912 5.80167
0.538134 6.69147
0.384121 6.73639
0.566796 6.66354
0.538134 6.69147
0.566796 6.66354
0.732821 6.50179
0.776459 6.31406
0.72557 6.28516
0.732821 6.50179
0.791885 6.38488
0.791885 6.38488
0.776459 6.31406
0.676089 7.02684
0.376093 6.92486
0.676089 7.02684
0.75551 7.05383
0.668508 7.40954
0.785587 7.14501
0.785587 7.14501
0.75551 7.05383
0.581337 8.21791
0.408858 8.21082
0.581337 8.21791
0.638494 8.22026
0.637037 8.4646
0.72526 8.44176
0.676471 8.26368
0.638494 8.22026
0.739375 8.42927
0.676471 8.26368
0.72526 8.44176
0.739375 8.42927
0.638494 8.22026
0.672433 8.05477
0.672433 8.05477
0.663834 8.02482
0.708878 4.75565
0.671837 4.40099
0.587134 4.86449
0.535 4.9111
0.587134 4.86449
0.708878 4.75565
0.687265 5.49867
0.542241 5.43555
0.687265 5.49867
0.739788 5.52153
0.800947 5.62465
0.739788 5.52153
0.653912 5.80167
0.800947 5.62465
0.669189 7.92109
0.692182 7.90989
0.692182 7.90989
0.820403 7.55755
0.820403 7.55755
0.69794 7.47015
0.663793 8.87134
0.64339 8.87377
0.663793 8.87134
0.729757 8.86351
0.787776 8.80286
0.72526 8.44176
0.729757 8.86351
0.787776 8.80286
0.75048 6.77632
0.538134 6.69147
0.75048 6.77632
0.878698 6.82756
0.75551 7.05383
0.849244 6.89927
0.849244 6.89927
0.878698 6.82756
0.739788 5.52153
0.802244 5.293
0.802244 5.293
0.639005 5.07572
0.717703 9.322
0.698521 9.32618
0.717703 9.322
0.85744 9.29155
0.911306 9.10874
0.729757 8.86351
0.85744 9.29155
0.911306 9.10874
0.723319 8.21894
0.676471 8.26368
0.723319 8.21894
0.79484 8.15063
0.793935 8.14992
0.672433 8.05477
0.793935 8.14992
0.79484 8.15063
0.776226 3.87123
0.487892 3.67786
0.776226 3.87123
0.885139 3.94428
0.680744 4.11741
0.647068 4.13396
0.735158 4.07132
0.680744 4.11741
0.735158 4.07132
0.885139 3.94428
0.739529 2.12571
0.135494 2.20349
0.739529 2.12571
0.962142 2.09705
0.8 1.79624
0.650611 1.77454
0.8 1.79624
0.972013 1.82123
0.962142 2.09705
0.972013 1.82123
0.849031 6.75108
0.732821 6.50179
0.849031 6.75108
0.883069 6.8241
0.878698 6.82756
0.883069 6.8241
0.812027 9.64672
0.669965 9.61799
0.812027 9.64672
0.937753 9.67215
1.08479 9.93415
0.937753 9.67215
0.828743 11.1334
1.08479 9.93415
0.771355 2.40022
0.448014 2.53134
0.771355 2.40022
1.06373 2.28166
1.06373 2.28166
0.962142 2.09705
0.79484 8.15063
0.913052 8.16631
0.767535 8.4238
0.739375 8.42927
0.829182 8.34814
0.913052 8.16631
0.774829 8.41485
0.767535 8.4238
0.774829 8.41485
0.829182 8.34814
0.89553 4.37544
0.720569 4.2974
0.89553 4.37544
1.02396 4.43272
0.775738 4.72857
0.708878 4.75565
0.775738 4.72857
0.798848 4.71921
1.02396 4.43272
1.03327 4.43834
0.798848 4.71921
1.03327 4.43834
0.87234 3.64229
0.646318 3.58695
0.87234 3.64229
0.96461 3.66488
0.885139 3.94428
0.96617 3.90306
0.96617 3.90306
0.96461 3.66488
0.862736 7.95445
0.692182 7.90989
0.862736 7.95445
0.946062 7.97622
0.913052 8.16631
0.99332 8.10801
0.99332 8.10801
0.946062 7.97622
0.796785 0.396073
0.576409 0.396758
0.796785 0.396073
0.996158 0.395453
0.996158 0.395453
1.00151 0.226755
1.00151 0.226755
0.939421 -0.261821
0.79728 0.649219
0.690669 0.740313
0.79728 0.649219
0.987178 0.486961
0.987178 0.486961
0.99677 0.397139
0.99677 0.397139
0.996158 0.395453
0.761086 3.32993
0.698283 3.34937
0.797593 3.27078
0.761086 3.32993
0.797593 3.27078
0.857184 3.17422
0.608235 2.81925
0.576936 2.81552
0.857184 3.17422
0.608235 2.81925
0.807904 1.55038
0.668458 1.53403
0.807904 1.55038
0.932824 1.56502
1.01992 1.72384
0.932824 1.56502
1.01992 1.72384
1.03974 1.75998
0.972013 1.82123
1.03974 1.75998
0.932824 1.56502
0.837962 1.18667
0.837962 1.18667
0.751878 1.13323
0.882686 5.94155
0.704377 5.88777
0.882686 5.94155
0.886907 5.94283
0.824615 6.28111
0.886907 5.94283
0.811341 6.29019
0.776459 6.31406
0.811341 6.29019
0.824615 6.28111
0.977846 9.39108
0.85744 9.29155
0.937753 9.67215
0.977846 9.39108
0.883069 6.8241
1.04078 6.75753
1.03604 6.5714
0.791885 6.38488
1.03604 6.5714
1.07253 6.59927
1.04078 6.75753
1.09724 6.68239
1.09724 6.68239
1.07253 6.59927
0.850152 8.78184
0.787776 8.80286
0.850152 8.78184
1.00747 8.72882
0.964354 8.52029
0.767535 8.4238
0.964354 8.52029
1.17949 8.62575
1.00747 8.72882
1.16744 8.66809
1.16744 8.66809
1.17949 8.62575
0.856377 5.62086
0.800947 5.62465
0.856377 5.62086
0.988871 5.61181
0.918952 5.32615
0.802244 5.293
0.918952 5.32615
1.09145 5.37515
0.988871 5.61181
1.09145 5.37515
0.916149 7.56783
0.820403 7.55755
0.916149 7.56783
1.1229 7.59003
0.946062 7.97622
1.11475 7.66521
1.11475 7.66521
1.1229 7.59003
0.874069 3.43266
0.697396 3.35365
0.874069 3.43266
1.00387 3.49071
1.02615 3.62027
1.00387 3.49071
0.96461 3.66488
1.02615 3.62027
0.875829 3.33095
0.761086 3.32993
0.875829 3.33095
0.978963 3.33186
1.00387 3.49071
0.978963 3.33186
0.885961 3.17686
0.857184 3.17422
0.885961 3.17686
1.07458 3.1942
0.978963 3.33186
1.07458 3.1942
0.877865 2.81568
0.608235 2.81925
0.877865 2.81568
0.964284 2.81453
1.07556 2.28917
1.06373 2.28166
0.964284 2.81453
1.08107 2.72641
1.12931 2.62977
1.07556 2.28917
1.08107 2.72641
1.12931 2.62977
0.886907 5.94283
0.987427 5.92833
0.987427 5.92833
1.08606 5.82701
1.05671 5.70955
0.988871 5.61181
1.08606 5.82701
1.05671 5.70955
1.07458 3.1942
1.10667 3.1679
1.10667 3.1679
0.964284 2.81453
0.905215 4.15785
0.680744 4.11741
0.953023 4.26851
0.905215 4.15785
0.953023 4.26851
1.02396 4.43272
0.915867 4.15335
0.905215 4.15785
0.915867 4.15335
0.991328 4.12151
0.991328 4.12151
1.01715 3.94708
1.01715 3.94708
0.96617 3.90306
0.968907 7.17908
0.785587 7.14501
0.968907 7.17908
1.15385 7.21344
1.1229 7.59003
1.14361 7.57442
1.25706 7.39824
1.15385 7.21344
1.14361 7.57442
1.25706 7.39824
0.741881 5.03856
0.628697 5.02821
0.963708 5.18939
0.741881 5.03856
0.963708 5.18939
1.15891 5.32212
1.09145 5.37515
1.15891 5.32212
0.919664 6.24525
0.824615 6.28111
0.919664 6.24525
0.995357 6.21668
0.995357 6.21668
1.00836 6.02816
1.00836 6.02816
0.987427 5.92833
0.946559 5.0237
0.741881 5.03856
0.946559 5.0237
1.20924 5.00464
1.03531 4.82153
0.798848 4.71921
1.03531 4.82153
1.15716 4.87425
1.17874 4.89492
1.15716 4.87425
1.17874 4.89492
1.20504 4.92012
1.20924 5.00464
1.20504 4.92012
1.03327 4.43834
1.03457 4.43813
1.06935 4.26045
0.991328 4.12151
1.06935 4.26045
1.07891 4.27747
1.03457 4.43813
1.07891 4.27747
0.954867 8.95222
0.918805 9.10539
0.954867 8.95222
1.00747 8.72882
0.918805 9.10539
0.911306 9.10874
0.96093 8.34156
0.829182 8.34814
0.96093 8.34156
1.23882 8.32769
1.05509 8.13747
0.99332 8.10801
1.22792 8.3164
1.05509 8.13747
1.22792 8.3164
1.23882 8.32769
1.15891 5.32212
1.22706 5.28345
1.23227 5.04834
1.20924 5.00464
1.22706 5.28345
1.23227 5.04834
1.23882 8.32769
1.31432 8.38864
1.17949 8.62575
1.18248 8.62206
1.18248 8.62206
1.31432 8.38864
0.968695 0.878811
0.781632 0.962702
0.968695 0.878811
1.13666 0.803483
1.13938 0.683061
0.987178 0.486961
1.13666 0.803483
1.13938 0.683061
1.00382 7.02488
0.849244 6.89927
1.00382 7.02488
1.15529 7.14797
1.15815 7.16112
1.15529 7.14797
1.15385 7.21344
1.15815 7.16112
0.969425 9.08511
0.918805 9.10539
0.969425 9.08511
1.06373 9.04733
1.06373 9.04733
1.18626 8.73602
1.18626 8.73602
1.16744 8.66809
1.14461 7.02621
1.04078 6.75753
1.15529 7.14797
1.14461 7.02621
0.911684 1.20307
0.837962 1.18667
1.16177 1.29422
0.911684 1.20307
1.16177 1.29422
1.25059 1.3266
